DrugBank_ID,target_nm,antagonist,multitarget,inhibitor,binder,substrate,inducer
DB00619,BCR,False,False,True,False,False,False
DB00619,KIT,True,True,False,False,False,False
DB00619,RET,False,False,True,False,False,False
DB00619,NTRK1,True,False,False,False,False,False
DB00619,CSF1R,True,False,False,False,False,False
DB00619,PDGFRA,True,False,False,False,False,False
DB00619,DDR1,True,False,False,False,False,False
DB00619,ABL1,False,False,True,False,False,False
DB00619,PDGFRB,True,False,False,False,False,False
DB01048,pol,False,False,True,False,False,False
DB01048,None,False,False,False,False,False,False
DB00173,APRT,False,False,False,False,False,False
DB00173,mtnN,False,False,False,False,False,False
DB00173,ACACB,False,False,False,False,False,False
DB00173,ACP1,False,False,False,False,False,False
DB00173,PECR,False,False,False,False,False,False
DB00173,mutY,False,False,False,False,False,False
DB00173,ptd,False,False,False,False,False,False
DB00173,SRPK2,False,False,False,False,False,False
DB00173,ruvB,False,False,False,False,False,False
DB00173,None,False,False,False,False,False,False
DB00173,MTAP,False,False,False,False,False,False
DB00173,cobT,False,False,False,False,False,False
DB00734,HTR2A,True,False,False,False,False,False
DB00734,DRD2,True,False,False,False,False,False
DB00734,ADRA1B,True,False,False,False,False,False
DB00734,ADRA2B,True,False,False,False,False,False
DB00734,ADRA1A,True,False,False,False,False,False
DB00734,ADRA2C,True,False,False,False,False,False
DB00734,HRH1,True,False,False,False,False,False
DB00734,HTR2C,True,False,False,False,False,False
DB00734,HTR1D,True,False,False,False,False,False
DB00734,HTR1A,True,False,False,False,False,False
DB00734,HTR7,True,False,False,False,False,False
DB00734,None,True,False,False,False,False,False
DB00734,DRD1,True,False,False,False,False,False
DB00218,parC,False,False,True,False,False,False
DB00218,gyrA,False,False,True,False,False,False
DB00218,TOP2A,False,False,True,False,False,False
DB09095,ANXA3,False,False,False,False,False,True
DB09095,NR3C1,False,False,False,True,False,False
DB01053,pbp3,False,False,True,False,False,False
DB01053,SLC22A8,False,False,True,False,True,False
DB01053,SLC15A1,False,False,True,False,True,False
DB01053,SLC15A2,False,False,True,False,False,False
DB00274,mecA,False,False,True,False,False,False
DB00274,mrcA,False,False,True,False,False,False
DB00274,mrcB,False,False,True,False,False,False
DB00274,ftsI,False,False,True,False,False,False
DB00274,dacA,False,False,True,False,False,False
DB00274,dacC,False,False,True,False,False,False
